Catalog Number,Inventory number,Suffix,Date D,Date M,Date P,PTS,Country,Place,Area,Locality,Formation,Member,Level,Age G1,Age G2,Anatomical part,Anatomical description,Taxonomy 1,Taxonomy 2,TR,Discoverer,Reference of first mention,Reference of description,Reference of taxonomical allocation,Reference of dating,Part
OMO 141-1972-117,OMO 141-1972-117,#,1972,2011,#,#,Ethiopia,Type area,23,OMO 141,Shungura,G,G-3,2.15-2.25,2.15-2.20,C,Cranial frag.,Hominine GSI,Hominine GSI,GSI,#,"Wood and Leakey, 2011",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
OMO 141-1972-118,OMO 141-1972-118,#,1972,2011,#,#,Ethiopia,Type area,23,OMO 141,Shungura,G,G-3,2.15-2.25,2.15-2.20,C,Cranial frag.,Hominine GSI,Hominine GSI,GSI,#,"Wood and Leakey, 2011",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
OMO 141-1972-123,OMO 141-1972-123,#,1972,1988,#,#,Ethiopia,Type area,23,OMO 141,Shungura,G,G-3,2.15-2.25,2.15-2.20,T,Ri2,Hominine GSI,Hominine GSI,GSI,#,"White, 1988",Undescribed,"White, 1988; Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
OMO 141-1972-129,OMO 141-1972-129,#,1972,2011,#,#,Ethiopia,Type area,23,OMO 141,Shungura,G,G-3,2.15-2.25,2.15-2.20,C,Cranial frag.,Hominine GSI,Hominine GSI,GSI,#,"Wood and Leakey, 2011",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
OMO 141-1972-167,OMO 141-1972-167,#,1972,2011,#,#,Ethiopia,Type area,23,OMO 141,Shungura,G,G-3,2.15-2.25,2.15-2.20,C,Cranial frag.,Hominine GSI,Hominine GSI,GSI,#,"Wood and Leakey, 2011",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
OMO 141-1972-168,OMO 141-1972-168,#,1972,2011,#,#,Ethiopia,Type area,23,OMO 141,Shungura,G,G-3,2.15-2.25,2.15-2.20,C,Cranial frag.,Hominine GSI,Hominine GSI,GSI,#,"Wood and Leakey, 2011",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
OMO 141-1972-177,OMO 141-1972-177,#,1972,1989,#,#,Ethiopia,Type area,23,OMO 141,Shungura,G,G-3,2.15-2.25,2.15-2.20,C,Maxillary,Hominine GSI,Hominine GSI,GSI,#,"Feibel et al., 1989",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
OMO 141-1972-180,OMO 141-1972-180,#,1972,2011,#,#,Ethiopia,Type area,23,OMO 141,Shungura,G,G-3,2.15-2.25,2.15-2.20,C,Maxillary frag.,Hominine GSI,Hominine GSI,GSI,#,"Wood and Leakey, 2011",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
OMO 141-1972-181,OMO 141-1972-181,#,1972,2011,#,#,Ethiopia,Type area,23,OMO 141,Shungura,G,G-3,2.15-2.25,2.15-2.20,C,Cranial frag.,Hominine GSI,Hominine GSI,GSI,#,"Wood and Leakey, 2011",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
OMO 141-1972-182,OMO 141-1972-182,#,1972,2011,#,#,Ethiopia,Type area,23,OMO 141,Shungura,G,G-3,2.15-2.25,2.15-2.20,C,Cranial frag.,Hominine GSI,Hominine GSI,GSI,#,"Wood and Leakey, 2011",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
OMO 166-1973-781,OMO 166-1973-781,#,1973,1987,#,#,Ethiopia,Type area,18,OMO 166,Shungura,E,E-1,~2.40,~2.40,T,LM3, Homo sp., Homo sp.,SPI,#,"Howell et al., 1987",Undescribed,"Howell et al., 1987; Wood and Leakey, 2011","Feibel et al., 1989",north
OMO 177-1973-4525,OMO 177-1973-4525,#,1973,1986,1990,17,Ethiopia,Type area,18,OMO 177,Shungura,E,Upper E,~2.40,~2.40,T,Rp3,aff. Homo sp.,aff. Homo sp.,SPI,#,"Hunt and Vitzthum, 1986","Suwa, 1990","Howell et al., 1987; Suwa, 1990","Feibel et al., 1989",north
OMO 195-1973-1630,OMO 195-1973-1630,#,1973,1980,#,#,Ethiopia,Type area,20,OMO 195,Shungura,G,G-7 to 8,~2.00,~2.00,T,Rm1,H. cf. habilis,H. cf. habilis,UTA,#,"Coppens, 1980",Undescribed,"Coppens, 1980; Wood and Leakey, 2011","Feibel et al., 1989",north
OMO 212-1973-1950,OMO 212-1973-1950,#,1973,1980,#,#,Ethiopia,Type area,17,OMO 212,Shungura,B,B-10,2.92-2.98,2.92-2.98,T,Lm1 germ,Australopithecus sp.,Australopithecus sp.,SPI,#,"Coppens, 1980",Undescribed,"Coppens, 1980","Feibel et al., 1989",north
OMO 222-1973-2744,OMO 222-1973-2744,#,1973,1976,#,#,Ethiopia,Type area,18,OMO 222,Shungura,G,G-7,2.05-2.15,2.05-2.15,M,L mandible frag. with dm1-2,Homo sp.,H. habilis,NTA,#,"Howell and Coppens, 1976",Undescribed,"White, 1988; Grine, 1984","Feibel et al., 1989",north
OMO 224-10005,OMO 224-10005,#,2006-7,2008,#,#,Ethiopia,Type area,23,OMO 224,Shungura,C,#,~2.58-2.74,~2.58-2.74,T,Lower m crown,aff. Homo sp.,aff. Homo sp.,SPI,#,"Boisserie et al., 2008",Undescribed,"Boisserie et al., 2008","Boisserie et al., 2008",north
OMO 263-1973-5479,OMO 263-1973-5479,#,1973,1989,#,#,Ethiopia,Type area,26,OMO 263,Shungura,F-G,#,1.92-2.32,???,T,LM,Hominine GSI,Hominine GSI,GSI,#,"Feibel et al., 1989",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989; Wynn et al., 2020",north
OMO 323-1976-896a,OMO 323-1976-896,A,1976,1978,2002,26,Ethiopia,Type area,#,OMO 323,Shungura,G,G8,2.10-2.30,2.08-2.16,C,Frontal frag.,P. boisei,P. boisei,CTA,#,"Howell, 1978","Alemseged et al., 2002","Wood et al., 1994; Alemseged et al., 2002","Feibel et al., 1989; Daver et al., 2018",north
OMO 323-1976-896b,OMO 323-1976-896,B,1976,1978,2002,26,Ethiopia,Type area,#,OMO 323,Shungura,G,G8,2.10-2.30,2.08-2.16,C,L temporal frag.,P. boisei,P. boisei,CTA,#,"Howell, 1978","Alemseged et al., 2002","Wood et al., 1994; Alemseged et al., 2002","Feibel et al., 1989; Daver et al., 2018",north
OMO 323-1976-896c,OMO 323-1976-896,C,1976,1978,2002,26,Ethiopia,Type area,#,OMO 323,Shungura,G,G8,2.10-2.30,2.08-2.16,C,Post. calvarial frag.,P. boisei,P. boisei,CTA,#,"Howell, 1978","Alemseged et al., 2002","Wood et al., 1994; Alemseged et al., 2002","Feibel et al., 1989; Daver et al., 2018",north
OMO 323-1976-896d,OMO 323-1976-896,D,1976,1978,2002,26,Ethiopia,Type area,#,OMO 323,Shungura,G,G8,2.10-2.30,2.08-2.16,C,R petrous pyramid frag.,P. boisei,P. boisei,CTA,#,"Howell, 1978","Alemseged et al., 2002","Wood et al., 1994; Alemseged et al., 2002","Feibel et al., 1989; Daver et al., 2018",north
OMO 323-1976-896e,OMO 323-1976-896,E,1976,1978,2002,26,Ethiopia,Type area,#,OMO 323,Shungura,G,G8,2.10-2.30,2.08-2.16,C,L zygomatic process frag.,P. boisei,P. boisei,CTA,#,"Howell, 1978","Alemseged et al., 2002","Wood et al., 1994; Alemseged et al., 2002","Feibel et al., 1989; Daver et al., 2018",north
OMO 323-1976-896f,OMO 323-1976-896,F,1976,1978,2002,26,Ethiopia,Type area,#,OMO 323,Shungura,G,G8,2.10-2.30,2.08-2.16,C,R and L parietal frags.,P. boisei,P. boisei,CTA,#,"Howell, 1978","Alemseged et al., 2002","Wood et al., 1994; Alemseged et al., 2002","Feibel et al., 1989; Daver et al., 2018",north
OMO 323-1976-896g,OMO 323-1976-896,G,1976,1978,2002,26,Ethiopia,Type area,#,OMO 323,Shungura,G,G8,2.10-2.30,2.08-2.16,C,R maxillary frag. with P3-M1,P. boisei,P. boisei,CTA,#,"Howell, 1978","Alemseged et al., 2002","Wood et al., 1994; Alemseged et al., 2002","Feibel et al., 1989; Daver et al., 2018",north
OMO 323-1976-896h,OMO 323-1976-896,H,1976,1978,2002,26,Ethiopia,Type area,#,OMO 323,Shungura,G,G8,2.10-2.30,2.08-2.16,T,LC,P. boisei,P. boisei,CTA,#,"Howell, 1978","Alemseged et al., 2002","Wood et al., 1994; Alemseged et al., 2002","Feibel et al., 1989; Daver et al., 2018",north
OMO 323-1976-896i,OMO 323-1976-896,I,1976,1978,2002,26,Ethiopia,Type area,#,OMO 323,Shungura,G,G8,2.10-2.30,2.08-2.16,T,LP4,P. boisei,P. boisei,CTA,#,"Howell, 1978","Alemseged et al., 2002","Wood et al., 1994; Alemseged et al., 2002","Feibel et al., 1989; Daver et al., 2018",north
OMO 323-1976-897,OMO 323-1976-897,#,1976,1989,#,#,Ethiopia,Type area,#,OMO 323,Shungura,G,G8,2.10-2.30,2.08-2.16,P,Metacarpal I,Hominine GSI,Hominine GSI,GSI,#,"Feibel et al., 1989",Undescribed,"Wood and Leakey, 2011","Feibel et al., 1989; Daver et al., 2018",north
OMO 323-1976-898,OMO 323-1976-898,#,1976,1997,1997,21,Ethiopia,Type area,#,OMO 323,Shungura,G,G8,2.10-2.30,2.08-2.16,P,Talus,Homo sp.,P. boisei,UTA,Y. Coppens,"Deloison, 1997","Deloison, 1997","Deloison, 1997; Berillon 2000; Gebo and Schwartz 2006; Wood and Leakey, 2011","Feibel et al., 1989; Daver et al., 2018",north
OMO 323-1976-2117,OMO 323-1976-2117,#,1976,2011,2018,42,Ethiopia,Type area,#,OMO 323,Shungura,G,G8,2.10-2.30,2.08-2.16,P,R metatarsal II,cf. P. boisei,cf. P. boisei,UTA,#,"Wood and Leakey, 2011","Daver et al., 2018","Daver et al., 2018","Feibel et al., 1989; Daver et al., 2018",north
OMO 323-10003,OMO 323-10003,#,2006,2018,2018,12,Ethiopia,Type area,#,OMO 323,Shungura,G,G8,2.10-2.30,2.08-2.16,P,L prox. radius,cf. P. boisei,cf. P. boisei,UTA,#,"Daver et al., 2018","Daver et al., 2018","Daver et al., 2018","Feibel et al., 1989; Daver et al., 2018",north
OMO 323-10069,OMO 323-10069,#,2006,2018,2018,12,Ethiopia,Type area,#,OMO 323,Shungura,G,G8,2.10-2.30,2.08-2.16,P,L prox. manual phalanx IV,cf. P. boisei,cf. P. boisei,UTA,#,"Daver et al., 2018","Daver et al., 2018","Daver et al., 2018","Feibel et al., 1989; Daver et al., 2018",north
OMO 329-10015,OMO 329-10015,#,2006-7,2008,#,#,Ethiopia,Type area,#,OMO 329,Shungura,C,#,~2.58-2.74,~2.58-2.74,T,Lower m crown,aff. Homo sp.,aff. Homo sp.,SPI,#,"Boisserie et al., 2008",Undescribed,"Boisserie et al., 2008","Boisserie et al., 2008",north
OMO 333-10003,OMO 333-10003,#,2006-7,2008,#,#,Ethiopia,Type area,#,OMO 333,Shungura,C,#,~2.58-2.74,~2.58-2.74,M,Edentulous mandible,cf. P. aethiopicus,cf. P. aethiopicus,UTA,#,"Boisserie et al., 2008",Undescribed,"Boisserie et al., 2008","Boisserie et al., 2008",north
OMO K 7-1969-19,OMO K 7-1969-19,#,1969,1970,1971,2,Ethiopia,Kalam,#,OMO K 7,Shungura,L,> L-9,~1.35,~1.35,T,Lm2,H. cf. habilis,H. cf. habilis,UTA,#,"Coppens, 1970","Coppens, 1971","Coppens, 1971","Feibel et al., 1989",north
OMO Sh 1/1-1969-17,OMO Sh 1/1-1969-17,#,1969,1971,1971,2,Ethiopia,Type area,20,OMO Sh 1/1,Shungura,G,G-8 to 9,~2.10,~2.10,T,LM1,H. cf. habilis,H. cf. habilis,UTA,#,"Coppens, 1971","Coppens, 1971","Wood and Leakey, 2011","Feibel et al., 1989",north
P 933-1,P 933-1,#,1972,1973,1973,1,Ethiopia,Type area,22,P 933,Shungura,F,F-3,~2.30,~2.30,T,LM1,aff. Homo sp.,aff. Homo sp.,NTA,J. de Heinzelin,"Coppens, 1973a","Coppens, 1973a","Howell et al, 1987; White 1988","Feibel et al., 1989",north
P 996-17a,P 996-17,A,1973,1980,1980,7,Ethiopia,Type area,Iryamaniang/Errum,P 996,Shungura,K,Upper K,1.40-1.50,1.40-1.50,C,Parietal and R frontal frag.,H. erectus,H. ergaster,NTN,#,"Coppens, 1980","Coppens, 1980","White, 1988 ; Wood and Leakey, 2011","Feibel et al., 1989",north
P 996-17b,P 996-17,B,1973,1980,1980,7,Ethiopia,Type area,Iryamaniang/Errum,P 996,Shungura,K,Upper K,1.40-1.50,1.40-1.50,C,L temporal frag.,H. erectus,H. ergaster,NTN,#,"Coppens, 1980","Coppens, 1980","White, 1988 ; Wood and Leakey, 2011","Feibel et al., 1989",north
W 7-23,W 7-23,#,1967,1968,1969,2,Ethiopia,White Sands,#,W 7,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,Lp4,Australopithecus. sp.,A. aff. afarensis,NTA,#,"Howell, 1968","Howell, 1969",Suwa 1990; Wood and Leakey 2011,"Wynn et al., 2020; Feibel et al., 1989",north
W 7-508,W 7-508,#,1967,1968,1969,2,Ethiopia,White Sands,#,W 7,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,Rm1,Hominine GSI,A. aff. afarensis,NTA,#,"Howell, 1968","Howell, 1969","Leonard et Hegmon, 1987; Wood and Leakey, 2011","Wynn et al., 2020; Feibel et al., 1989",north
W 7-559i,W 7-559,I,#,2009,#,#,Ethiopia,White Sands,#,W 7,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,Tooth frag.,Hominine GSI,A. aff. afarensis,NTA,#,"Estebaranz et al., 2009",Undescribed,"Wynn et al., 2020","Wynn et al., 2020",north
W 7-578,W 7-578,#,1967,1968,1969,2,Ethiopia,White Sands,#,W 7,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,m1or2 frag.,Hominine GSI,A. aff. afarensis,NTA,#,"Howell, 1968","Howell, 1969","Wood and Leakey, 2011","Wynn et al., 2020; Feibel et al., 1989",north
W 8-749,W 8-749,#,1968,1969,1969,1,Ethiopia,White Sands,#,W 8,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,RM2,Hominine GSI,A. aff. afarensis,NTA,#,"Howell, 1969","Howell, 1969","Wood and Leakey, 2011","Wynn et al., 2020; Feibel et al., 1989",north
W 8-750,W 8-750,#,1968,1969,1969,1,Ethiopia,White Sands,#,W 8,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,P3OR4 frag.,Australopithecus. sp.,A. aff. afarensis,NTA,#,"Howell, 1969","Howell, 1969","Suwa 1990; Wood and Leakey, 2011","Wynn et al., 2020; Feibel et al., 1989",north
W 8-751,W 8-751,#,1968,1969,1969,1,Ethiopia,White Sands,#,W 8,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,p4 frag.,Australopithecus. sp.,A. aff. afarensis,NTA,#,"Howell, 1969","Howell, 1969","Suwa 1990; Wood and Leakey, 2011","Wynn et al., 2020; Feibel et al., 1989",north
W 8-752,W 8-752,#,1968,1969,1969,1,Ethiopia,White Sands,#,W 8,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,Rm1or2,Hominine GSI,A. aff. afarensis,NTA,#,"Howell, 1969","Howell, 1969","Wood and Leakey, 2011","Wynn et al., 2020; Feibel et al., 1989",north
W 8-753,W 8-753,#,1968,1969,1969,1,Ethiopia,White Sands,#,W 8,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,RDM1 or RM1,Hominine GSI,A. aff. afarensis,NTA,#,"Howell, 1969","Howell, 1969","Wood and Leakey, 2011","Wynn et al., 2020; Feibel et al., 1989",north
W 8-978,W 8-978,#,1973,1980,1990,17,Ethiopia,White Sands,#,W 8,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,Rp3,Australopithecus. sp.,A. aff. afarensis,NTA,#,"Coppens, 1980","Suwa, 1990","Leonard et Hegmon, 1987; Suwa 1990; Wood and Leakey, 2011","Wynn et al., 2020; Feibel et al., 1989",north
W 8-988,W 8-988,#,1973,1989,1990,17,Ethiopia,White Sands,#,W 8,Usno,U-12,B-2 (U-12),3.19-3.21,~3.05,T,LP4,Australopithecus. sp.,A. aff. afarensis,NTA,#,"Feibel et al., 1989","Suwa, 1990","Suwa 1990; Wood and Leakey, 2011","Wynn et al., 2020; Feibel et al., 1989",north
FJ-1 Hd1,FJ-1 Hd1,#,1993,2004,2004,11,Ethiopia,Fejej,#,FJ1-e3,Koobi Fora,Upper Burgi,Borana-3m,1.90-1.95,1.90-1.95,T,Rm1,H. aff. habilis,H. aff. habilis,UTA,Y. Beyene,"de Lumley and Marchal, 2004","de Lumley and Marchal, 2004","de Lumley and Marchal, 2004","Chapon et al., 2011",east
FJ-1 Hd2,FJ-1 Hd2,#,1997,2004,2004,7,Ethiopia,Fejej,#,FJ1-BL,Koobi Fora,Upper Burgi,,1.90-1.95,1.90-1.95,P,L humerus dist. frag.,Hominine GSI,Hominine GSI,GSI,D. Gebre,"de Lumley and Marchal, 2004","de Lumley and Marchal, 2004","de Lumley and Marchal, 2004","Chapon et al., 2011",east
FJ-1 Hd3,FJ-1 Hd3,#,1998,2004,2004,6,Ethiopia,Fejej,#,FJ1-e3,Koobi Fora,Upper Burgi,Borana-3m,1.90-1.95,1.90-1.95,T,Rp4,H. aff. habilis,H. aff. habilis,UTA,F. Marchal,"de Lumley and Marchal, 2004","de Lumley and Marchal, 2004","de Lumley and Marchal, 2004","Chapon et al., 2011",east
FJ-1 Hd4,FJ-1 Hd4,#,1998,2004,2004,6,Ethiopia,Fejej,#,FJ1-e3,Koobi Fora,Upper Burgi,Borana-3m,1.90-1.95,1.90-1.95,T,Lm3,H. aff. habilis,H. aff. habilis,UTA,Team,"de Lumley and Marchal, 2004","de Lumley and Marchal, 2004","de Lumley and Marchal, 2004","Chapon et al., 2011",east
FJ-4-SB-1a,FJ-4-SB-1,A,1990,1991,1991,1,Ethiopia,Fejej,#,FJ-4,Koobi Fora,Lonyumun,,4.00 -4.18,4.00 -4.18,T,Rc,A. anamensis,A. anamensis,CTA,#,"Fleagle et al., 1991","Fleagle et al., 1991",Ward 2014,"Kappelman et al., 1996",east
FJ-4-SB-1b,FJ-4-SB-1,B,1990,1991,1991,1,Ethiopia,Fejej,#,FJ-4,Koobi Fora,Lonyumun,,4.00 -4.18,4.00 -4.18,T,Lp3,A. anamensis,A. anamensis,CTA,#,"Fleagle et al., 1991","Fleagle et al., 1991",Ward 2014,"Kappelman et al., 1996",east
FJ-4-SB-1c,FJ-4-SB-1,C,1990,1991,1991,1,Ethiopia,Fejej,#,FJ-4,Koobi Fora,Lonyumun,,4.00 -4.18,4.00 -4.18,T,Lp4,A. anamensis,A. anamensis,CTA,#,"Fleagle et al., 1991","Fleagle et al., 1991",Ward 2014,"Kappelman et al., 1996",east
FJ-4-SB-1d,FJ-4-SB-1,D,1990,1991,1991,1,Ethiopia,Fejej,#,FJ-4,Koobi Fora,Lonyumun,,4.00 -4.18,4.00 -4.18,T,Lm,A. anamensis,A. anamensis,CTA,#,"Fleagle et al., 1991","Fleagle et al., 1991",Ward 2014,"Kappelman et al., 1996",east
FJ-4-SB-1e,FJ-4-SB-1,E,1990,1991,1991,1,Ethiopia,Fejej,#,FJ-4,Koobi Fora,Lonyumun,,4.00 -4.18,4.00 -4.18,T,Frag. m,A. anamensis,A. anamensis,CTA,#,"Fleagle et al., 1991","Fleagle et al., 1991",Ward 2014,"Kappelman et al., 1996",east
FJ-4-SB-1f,FJ-4-SB-1,F,1990,1991,1991,1,Ethiopia,Fejej,#,FJ-4,Koobi Fora,Lonyumun,,4.00 -4.18,4.00 -4.18,T,Frag. m,A. anamensis,A. anamensis,CTA,#,"Fleagle et al., 1991","Fleagle et al., 1991",Ward 2014,"Kappelman et al., 1996",east
FJ-4-SB-2,FJ-4-SB-2,#,1990,1991,1991,1,Ethiopia,Fejej,#,FJ-4,Koobi Fora,Lonyumun,,4.00 -4.18,4.00 -4.18,T,Rp4,A. anamensis,A. anamensis,CTA,#,"Fleagle et al., 1991","Fleagle et al., 1991",Ward 2014,"Kappelman et al., 1996",east
KNM-ER 164a,KNM-ER 164,A,1969,1971,1974,5,Kenya,Koobi Fora,104,#,Koobi Fora,KBS,A2-2m,1.73-1.83,1.73-1.83,C,L parietal frag.,Homo sp.,Homo sp.,SPI,H. Stradling,"Leakey, 1971","Day and Leakey, 1974","Wood, 1991","Feibel et al., 1989",east
KNM-ER 164ba,KNM-ER 164,Ba,1971,1972,1974,3,Kenya,Koobi Fora,104,#,Koobi Fora,KBS,A2-2m,1.73-1.83,1.73-1.83,P,Proximal manual phalanx,Homo sp.,Homo sp.,SPI,M.G. Leakey,"Day and Leakey, 1974","Day and Leakey, 1974","Wood, 1991","Feibel et al., 1989",east
KNM-ER 164bb,KNM-ER 164,Bb,1971,1972,1974,3,Kenya,Koobi Fora,104,#,Koobi Fora,KBS,A2-2m,1.73-1.83,1.73-1.83,P,Proximal manual phalanx,Homo sp.,Homo sp.,SPI,M.G. Leakey,"Day and Leakey, 1974","Day and Leakey, 1974","Wood, 1991","Feibel et al., 1989",east
KNM-ER 164ca,KNM-ER 164,Ca,1971,1972,1974,3,Kenya,Koobi Fora,104,#,Koobi Fora,KBS,A2-2m,1.73-1.83,1.73-1.83,P,T1 vertebra,Homo sp.,Homo sp.,SPI,M.G. Leakey,"Day and Leakey, 1974","Day and Leakey, 1974","Wood, 1991","Feibel et al., 1989",east
KNM-ER 164cb,KNM-ER 164,Cb,1971,1972,1974,3,Kenya,Koobi Fora,104,#,Koobi Fora,KBS,A2-2m,1.73-1.83,1.73-1.83,P,C7 vertebra,Homo sp.,Homo sp.,SPI,M.G. Leakey,"Day and Leakey, 1974","Day and Leakey, 1974","Wood, 1991","Feibel et al., 1989",east
KNM-ER 403,KNM-ER 403,#,1968,1971,1971,3,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6-2m,1.65-1.75,1.56-1.64,M,R mandibular body,P. boisei,P. boisei,CTA,M. Muoka,"Leakey, 1971","Leakey et al., 1971","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 404,KNM-ER 404,#,1968,1971,1971,3,Kenya,Ileret,7A,#,Koobi Fora,Okote,MFB-2m,1.48-1.58,1.38-1.46,M,R mandibular body,P. boisei,P. boisei,CTA,K. Kimeu,"Leakey, 1971","Leakey et al., 1971","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 405,KNM-ER 405,#,1968,1971,1971,3,Kenya,Koobi Fora,105,#,Koobi Fora,KBS,KBS CC,1.83-1.93,1.83-1.93,C,Palate,P. boisei,P. boisei,CTA,N. Mutiwa,"Leakey, 1971","Leakey et al., 1971","Wood, 1991","Feibel et al., 1989",east
KNM-ER 406,KNM-ER 406,#,1969,1970,1971,2,Kenya,Ileret,10,#,Koobi Fora,KBS,Upper KBS Mb,1.65-1.75,~1.60,C,Complete cranium without dentition,P. boisei,P. boisei,CTA,R.E. Leakey,"Leakey, 1970","Leakey et al., 1971","Wood, 1991","Feibel et al., 1989; Mana et al., 2019",east
KNM-ER 407,KNM-ER 407,#,1969,1970,1976,7,Kenya,Ileret,10,#,Koobi Fora,KBS,KBS + 15m,1.80-1.90,1.80-1.90,C,Calvaria,P. boisei,P. boisei,CTA,M. Muoka,"Leakey, 1970","Day et al., 1976","Wood, 1991","Feibel et al., 1989",east
KNM-ER 417,KNM-ER 417,#,1968,1971,1971,3,Kenya,Koobi Fora,129,#,Koobi Fora,Upper Burgi,Mid UBU Mb,1.88-1.90,1.88-1.90,C,L parietal frag.,Hominine GSI,Hominine GSI,GSI,N. Mutiwa,"Leakey, 1971","Leakey et al., 1971","Wood, 1991","Feibel et al., 1989",east
KNM-ER 725,KNM-ER 725,#,1970,1971,1972,2,Kenya,Ileret,1,#,Koobi Fora,Okote,ILN + 10m,1.49-1.55,1.49-1.55,M,L mandibular body,P. boisei,P. boisei,CTA,N. Mutiwa,"Leakey, 1971","Leakey et al., 1972","Wood, 1991","Feibel et al., 1989",east
KNM-ER 726,KNM-ER 726,#,1970,1971,1972,2,Kenya,Ileret,11,#,Koobi Fora,Okote,OKL + 15m,1.56-1.66,1.46-1.54,M,L mandibular body,P. boisei,P. boisei,CTA,H. Mutua,"Leakey, 1971","Leakey et al., 1972","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 727,KNM-ER 727,#,1970,1971,1972,2,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,M,R. mandibular body frag. with  m1 and m2 roots,P. boisei,P. boisei,CTA,H. Mutua,"Leakey, 1971","Leakey et al., 1972","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 728,KNM-ER 728,#,1970,1971,1972,2,Kenya,Ileret,1,#,Koobi Fora,Okote,ILN + 10m,1.49-1.55,1.49-1.55,M,R. mandibular body with  m1 to m3 roots,P. boisei,P. boisei,CTA,K.Kimeu,"Leakey, 1971","Leakey et al., 1972","Wood, 1991","Feibel et al., 1989",east
KNM-ER 729a,KNM-ER 729,A,1970,1971,1972,2,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 2m,1.49-1.55,1.49-1.55,M,Mandible with teeth,P. boisei,P. boisei,CTA,P. Abell,"Leakey, 1971","Leakey et al., 1972","Wood, 1991","Feibel et al., 1989",east
KNM-ER 729b,KNM-ER 729,B,1970,1971,1972,2,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 2m,1.49-1.55,1.49-1.55,T,Mesial root m1,P. boisei,P. boisei,CTA,P. Abell,"Leakey, 1971","Leakey et al., 1972","Wood, 1991","Feibel et al., 1989",east
KNM-ER 729c,KNM-ER 729,C,1970,1971,1972,2,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 2m,1.49-1.55,1.49-1.55,T,Distal root m1,P. boisei,P. boisei,CTA,P. Abell,"Leakey, 1971","Leakey et al., 1972","Wood, 1991","Feibel et al., 1989",east
KNM-ER 729d,KNM-ER 729,D,1970,1971,1972,2,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 2m,1.49-1.55,1.49-1.55,T,Rp3 frag.,P. boisei,P. boisei,CTA,P. Abell,"Leakey, 1971","Leakey et al., 1972","Wood, 1991","Feibel et al., 1989",east
KNM-ER 729e,KNM-ER 729,E,1970,1971,1972,2,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 2m,1.49-1.55,1.49-1.55,T,Ri1,P. boisei,P. boisei,CTA,P. Abell,"Leakey, 1971","Leakey et al., 1972","Wood, 1991","Feibel et al., 1989",east
KNM-ER 729f,KNM-ER 729,F,1970,1971,1972,2,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 2m,1.49-1.55,1.49-1.55,T,Li1,P. boisei,P. boisei,CTA,P. Abell,"Leakey, 1971","Leakey et al., 1972","Wood, 1991","Feibel et al., 1989",east
KNM-ER 729g,KNM-ER 729,G,1970,1971,1972,2,Kenya,Ileret,8,#,Koobi Fora,Okote,BPT + 2m,1.49-1.55,1.49-1.55,T,Lc,P. boisei,P. boisei,CTA,P. Abell,"Leakey, 1971","Leakey et al., 1972","Wood, 1991","Feibel et al., 1989",east
